ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
ACOAD7f ACSPHACP80 ACSPHACP90 CYSTS ECOAH26 HMR_0188 FACOAL160 FACOAL50i FDH FUM GGGABAH GLXCL GTPDPK HACD8i LPSGTR1_kt MAN6PI MCITD NTPP5 PGI PGK PHAP2C141d5 RHACOAE90 RHACOAEP90 THRA ACALD ADNCYC CYTOM,27,0.1134091,3.10111591,1.03708342523708,0.965559249706382
APG3PAT160 ENO FACOAE1829Z12Z FDH FUM GGGABAH GLYCTO1 HACD6i HACD8i CTECOAI7 HIBDkt MAN6PI MCITD NDPK3 NTP3 PDHa PGI PGK PGM PHAPC50 PHAPCT40 PPCK QUIDHy RECOAH3 ABTA AKGDb_copy1 BDH,27,0.04174156,3.09625893,1.12918816192159,1.05967932443145
ACOAD7f ACSPHAC80 ACSPHACP90 ASPCT DHSKDH DLYSAD FACOAE1829Z12Z FDH FUM GDPMANNDH HACD22i HACD4i KAT1 MAN6PI PGI PGK PHETA1 RBK RHACOAE121 RHACOAEP80 DMALRED ACALD ADPT DCTPD 3OXCOAT,25,0.11051686,3.08431616,1.04338666111324,0.969631337111231
ACS FDH GDPMANNDH GLXCL GTPDPK ICDHyr IMPD IPDDI ACACT10 MACACI MAN6PI MDH ME2 NFORGLUAH2 OXDHCOAT PGI PGK PGM PGMT PHAPC50 PPCK PPK RECOAH24 RECOAH3 RECOAH9 AKGDb_copy2 ADNK1 ALATA_L BPNT 3OADPCOAT,30,0.1198776,3.07803565,1.04269884593442,0.955813284456597
ACS2 ACSPHAC90 ASPSALy CAT CYSTS DHSKDH ENO FDH FUM GALUi GAPD GLXCL HSK ICDHyr ILETA LYSMO MAN6PI NFORGLUAH2 PGI PGK PGL PGM PHAPC50 DMALRED HMR_0180_copy2 AKGDb_copy2 ACALD ACOAD23f DUTPDP,29,0.04520379,3.07475248,1.13009177246033,1.05515762255291
ACOAD7f ACSPHAC120 ACSPHACP40 APSR CSND CYTK1 ECOAH28 FACOAL50i G6PDH2r GGPTRCS GLXCL GTHPi HACD3i ACACT12 MACACI MAN6PI NFORGLUAH2 PGI PGK PPCK PPS RECOAH3 RHACOAE142 SERD_L AKGDb_copy1 3OXCOAT,26,0.14641598,3.05275148,1,0.928763977692034
ACSPHAC141 ACSPHACP80 CYSTS DLYSAD ECOAH26 ENO FDH FUM GDBTALDH GDPMANNDH HACD26i HACD8i HSK HXAND ICDHyr ACACT13 NFORGLUAH2 PGI PGK PHAP2C141d5 RECOAH22 RHACOAEP80 SERAT_copy1 SERD_L AKGDb_copy2 ADNCYC AKGDH AST 3OXCOAT,29,0.05081282,3.04917921,1.13118284379225,1.04738959587552
ACS ACSPHAC120 ASPCT GLU5K GLXCL GUAPRT HACD32i MACACI MAN6PI MLTGY4pp NFORGLUAH2 NTPP1 NTPTP2 PGI PGK PGL PGM PHAPC40 PPCK PPK PUTA3 RHACOAE121 RHACOAE90 IDPh_1 NDP8 AKGDb_copy2 ACALD ADA 3OADPCOAT 3OXCOAT,30,0.14774448,3.0425145,1.02303858864107,0.921411593601366
ACOAD7f ACSPHAC142 ASPT ECOAH26 GLU5K GLUCYS_copy1 GLXCL HACD20i HCO3E MACACI MAN6PI ME2 NFORGLUAH2 NTPP1 PALGSKT PGI PGK PGM PHAP2C142 PHAPCT40 RECOAH14 RECOAH3 RHACOAE121d6 RHACOAEP40 SERAT_copy1 AKGDb_copy2 ABUTD ACALD ADNCYC 3OXCOAT,30,0.15195223,3.03423201,0.930973109114621,0.94117547154333
ACSPHAC121d6 ACSPHACP80 CYSTS DLYSAD ENO FACOAE100 FDH FUM GDPMANNDH HACD26i HACD8i HSK ICDHyr ILEDHr_1 ACACT13 METGL NFORGLUAH2 PDHcr PGI PGK PGM PHAP2C141d5 PPCK RECOAH22 RHACOAEP80 AKGDb_copy2 ADNCYC ADPT BPNT 3OXCOAT,30,0.04983939,3.02324248,1.13230827584825,1.0504820558276
